ticker,earnings_date,spectral_entropy,dominant_frequency,dominant_power,cumulative_abnormal_return,day1_abnormal_return,pre_window_size,post_window_size,lm_polarity,lm_subjectivity
NFLX,2021-07-20,2.4004620537599815,0.3333333333333333,0.17568874095283044,-0.06718518134705052,-0.0165420141529167,30,5,0.2331606205535719,0.0653794037718904
NFLX,2021-04-20,2.2728366499927786,0.5,0.2081997299664533,-0.08872344850660105,-0.0014740952868499057,30,5,0.2178217810998921,0.0653087616988979
NFLX,2021-01-19,2.2283490557827745,0.5,0.30615049367788116,0.08874359235668969,-0.00023934260777332475,30,5,0.1818181807851239,0.0594393785682406
ORCL,2022-12-12,2.1455981255704764,0.16666666666666666,0.2738613010808895,0.017688253436174896,0.003310418855747569,30,5,0.1142857134693877,0.0461437046650811
ORCL,2022-09-12,2.4022178575544624,0.2,0.19712452261280072,-0.048875305933264085,0.004604779427537321,30,5,0.1145038159198182,0.0511518937715142
ORCL,2022-06-13,2.5821567346677865,0.4666666666666667,0.15162700217599576,0.06767454759991286,-0.008407684946997666,30,5,0.3237410048651726,0.0520989505052102
ORCL,2022-03-10,2.296708120954909,0.26666666666666666,0.24418409159648397,0.03045177672180332,0.011727217445295885,30,5,0.413173650220517,0.0561911170739599
ORCL,2021-12-09,2.341535064458846,0.3,0.24662280998683922,0.15076024447662364,0.0048611785695205564,30,5,0.1341463406454491,0.052513608692759
ORCL,2021-09-13,2.208101114828909,0.23333333333333334,0.3642399603500654,-0.03146311036467296,-0.011403845426414694,30,5,0.1186440667911519,0.05651340993462
ORCL,2021-06-15,2.3458770456554294,0.1,0.2223728356813123,-0.05053667782786825,-0.01009656588392606,30,5,0.2792792767632497,0.0549504950223017
ORCL,2021-03-10,2.577356644036889,0.0,0.15864962000420002,-0.10538783310681131,-0.013389381442827123,30,5,0.1914893596650068,0.0364623739191379
CRM,2022-11-30,2.319160868150245,0.4,0.21255883076008172,-0.12584726952923148,0.023947249853626357,30,5,0.3769470393241525,0.0790056608222974
CRM,2022-08-24,2.3970685081754586,0.1,0.20721702816811755,-0.0624815530062777,0.01933244405292056,30,5,0.4671814653776777,0.0636989670281114
CRM,2022-05-31,2.380115011576942,0.4666666666666667,0.172687563232464,0.11061554093292655,-0.024251753819397433,30,5,0.4189189175036523,0.0780590717093726
CRM,2022-03-01,2.254888532899789,0.16666666666666666,0.30906811149134567,-0.03015124382637378,0.007526921666097759,30,5,0.3279352213443918,0.0628498727575445
CRM,2021-11-30,2.377370788455422,0.36666666666666664,0.18404902885855032,-0.12440992990516259,-0.02085816762863992,30,5,0.5253164540338087,0.0753277711381816
CRM,2021-08-25,2.292519519678402,0.1,0.2035494297545061,0.013393302120330826,0.0024764400900804846,30,5,0.5652173892564587,0.0728040094769707
CRM,2021-02-25,2.5216401904680588,0.5,0.15813820409839202,-0.12794549652664455,-0.01544067611627328,30,5,0.3933649270456638,0.0639975735323028
ADBE,2021-12-16,2.1721230137065297,0.3,0.22290449616380326,-0.10852901288412645,-0.09863278543119457,30,5,0.6742934042068729,0.091042764355956
ADBE,2021-09-21,2.1035260473290434,0.16666666666666666,0.33980844452530656,-0.0801071708467637,0.008092604656182995,30,5,0.4774193532986472,0.072026022288098
QCOM,2023-02-02,2.597871620036419,0.3,0.12401427135413498,-0.04612737447205825,-0.033481813330765754,30,5,0.1891891883369856,0.0702976567225149
QCOM,2022-11-02,2.3467028087297175,0.16666666666666666,0.18008233837303697,-0.03510673796919819,-0.016620921708585538,30,5,-0.0230414745481959,0.0653614457634453
QCOM,2022-07-27,2.5232134041950154,0.2,0.18613126653117812,-0.06278632864867224,-0.002890807442039244,30,5,0.1176470582468281,0.0620626711098075
QCOM,2022-04-27,2.2373152531530627,0.43333333333333335,0.3072992880354583,0.07684325718345104,0.009105673890143808,30,5,0.2542372870583166,0.0733146939815735
QCOM,2022-02-02,2.4597649826390127,0.16666666666666666,0.1847630364747943,0.012656163038791126,0.050953976504527265,30,5,0.3599999984,0.0678119348801049
QCOM,2021-11-03,2.4544255929642325,0.1,0.1603868772101949,0.19766445573248262,0.017662437473150078,30,5,0.2454545443388429,0.075731497392175
QCOM,2021-07-28,2.4591525360108046,0.13333333333333333,0.14681457253597954,0.04374822830934787,0.01106785219433808,30,5,0.4198473266418041,0.0733482642571813
QCOM,2021-04-28,2.297115902855295,0.23333333333333334,0.2960734654008508,-0.024029939818541405,-0.010201176780537669,30,5,0.4379084953009526,0.0781010719555637
QCOM,2021-02-03,2.577286256150928,0.43333333333333335,0.2107236453314698,-0.14279699054811734,-0.015950370037710694,30,5,0.2857142847424684,0.075019137515943
QCOM,2020-11-04,2.0396710412320274,0.43333333333333335,0.4039541164266848,0.058311036976273614,0.00556953478633233,30,5,0.3384030405383915,0.0714868170504249
TXN,2021-10-26,2.3484384507640073,0.13333333333333333,0.22210617029181487,-0.06936585929215003,-0.0171141987299059,30,5,0.2198581544690911,0.0525139664608886
TXN,2021-07-21,2.4512088328497974,0.36666666666666664,0.16555755297079144,-0.02687255935936609,0.025813336511918254,30,5,0.2213740441116485,0.0579389650340827
TXN,2021-04-27,2.34191195583945,0.23333333333333334,0.301871994218066,-0.06379637241209032,-0.00581237559946818,30,5,0.3124999975585937,0.0600938966854019
TXN,2021-01-26,2.3932837759357604,0.4666666666666667,0.24387833062649936,0.02483896476564767,-0.006858228199211983,30,5,0.4049586743391845,0.0601092895876257
