ticker,earnings_date,eps_estimate,reported_eps,surprise_pct
AMZN,2022-04-28,0.41,-0.38,-191.55
AMZN,2022-02-03,0.19,1.39,641.94
AMZN,2021-10-28,0.44,0.31,-30.85
AMZN,2021-07-29,0.62,0.76,22.57
AMZN,2021-04-29,0.48,0.79,64.11
AMZN,2021-02-02,0.36,0.7,97.39
AMZN,2020-10-29,0.38,0.62,64.25
AMZN,2020-07-30,0.08,0.52,582.21
AMZN,2020-04-30,0.31,0.25,-19.8
META,2026-04-29,6.62,,
META,2026-01-28,8.18,8.88,8.6
META,2025-10-29,6.67,7.25,8.66
META,2025-07-30,5.9,7.14,20.96
META,2025-04-30,5.21,6.43,23.53
META,2025-01-29,6.74,8.02,19.0
META,2024-10-30,5.3,6.03,13.86
META,2024-07-31,4.78,5.16,7.9
META,2024-04-24,4.36,4.71,8.11
META,2024-02-01,4.94,5.33,7.88
META,2023-10-25,3.63,4.39,20.9
META,2023-07-26,2.91,2.98,2.51
META,2023-04-26,1.95,2.2,12.62
META,2023-02-01,2.23,1.76,-21.14
META,2022-10-26,1.86,1.64,-12.06
META,2022-07-27,2.55,2.46,-3.56
META,2022-04-27,2.53,2.72,7.57
META,2022-02-02,3.83,3.67,-4.06
META,2021-10-25,3.18,3.22,1.32
META,2021-07-28,3.01,3.61,20.04
META,2021-04-28,2.34,3.3,40.92
META,2021-01-27,3.2,3.88,21.43
META,2020-10-29,1.91,2.4,25.57
META,2020-07-30,1.4,1.8,28.88
META,2020-04-29,1.7,1.71,0.38
NVDA,2026-05-20,1.77,,
NVDA,2026-02-25,1.54,1.62,5.32
NVDA,2025-11-19,1.26,1.3,3.46
NVDA,2025-08-27,1.01,1.05,4.1
NVDA,2025-05-28,0.75,0.81,8.02
NVDA,2025-02-26,0.85,0.89,5.25
NVDA,2024-11-20,0.75,0.81,8.52
NVDA,2024-08-28,0.64,0.68,5.66
NVDA,2024-05-22,0.56,0.61,9.74
NVDA,2024-02-21,0.46,0.52,11.4
NVDA,2023-11-21,0.34,0.4,18.73
NVDA,2023-08-23,0.21,0.27,29.35
NVDA,2023-05-24,0.09,0.11,18.8
NVDA,2023-02-22,0.08,0.09,9.45
NVDA,2022-11-16,0.07,0.06,-17.32
NVDA,2022-08-24,0.05,0.05,-1.49
NVDA,2022-05-25,0.13,0.14,4.86
NVDA,2022-02-16,0.12,0.13,7.97
NVDA,2021-11-17,0.11,0.12,5.81
NVDA,2021-08-18,0.1,0.1,2.26
NVDA,2021-05-26,0.08,0.09,11.44
NVDA,2021-02-24,0.07,0.08,10.37
NVDA,2020-11-18,0.06,0.07,14.21
NVDA,2020-08-19,0.05,0.05,10.66
NVDA,2020-05-21,0.04,0.05,6.86
AMD,2026-05-05,1.27,,
AMD,2026-02-03,1.32,1.53,15.98
AMD,2025-11-04,0.68,0.75,10.04
AMD,2025-08-05,-0.05,0.54,1240.2
AMD,2025-05-06,0.93,0.96,2.83
AMD,2025-02-04,1.09,1.09,0.36
AMD,2024-10-29,0.92,0.92,0.46
AMD,2024-07-30,0.68,0.69,1.26
AMD,2024-04-30,0.61,0.62,2.04
AMD,2024-01-30,0.77,0.77,-0.01
