lm_polarity,lm_subjectivity,lm_positive,lm_negative,lm_word_count,vader_compound,vader_pos,vader_neg,ticker,earnings_date
0.3304347811720227,0.07145076108373695,153,77,3219,1.0,0.182,0.016,NFLX,2022-04-19
0.12442396256025824,0.06595744678846278,122,95,3290,1.0,0.168,0.02,NFLX,2022-01-20
0.3394495397272957,0.07163982909246144,146,72,3043,1.0,0.185,0.011,NFLX,2021-10-19
0.23316062055357192,0.06537940377189044,119,74,2952,1.0,0.18,0.017,NFLX,2021-07-20
0.21782178109989217,0.06530876169889792,123,79,3093,1.0,0.17,0.015,NFLX,2021-04-20
0.18181818078512396,0.05943937856824067,104,72,2961,1.0,0.156,0.024,NFLX,2021-01-19
0.11428571346938776,0.04614370466508118,78,62,3034,1.0,0.135,0.02,ORCL,2022-12-12
0.1145038159198182,0.051151893771514294,73,58,2561,1.0,0.132,0.023,ORCL,2022-09-12
0.32374100486517265,0.05209895050521029,92,47,2668,1.0,0.142,0.024,ORCL,2022-06-13
0.41317365022051705,0.05619111707395992,118,49,2972,1.0,0.16,0.02,ORCL,2022-03-10
0.13414634064544914,0.05251360869275901,93,71,3123,1.0,0.131,0.027,ORCL,2021-12-09
0.11864406679115198,0.05651340993462002,66,52,2088,1.0,0.142,0.016,ORCL,2021-09-13
0.27927927676324976,0.05495049502230173,71,40,2020,1.0,0.16,0.012,ORCL,2021-06-15
0.19148935966500683,0.036462373919137946,56,38,2578,1.0,0.119,0.02,ORCL,2021-03-10
0.3769470393241525,0.0790056608222974,221,100,4063,1.0,0.17,0.021,CRM,2022-11-30
0.46718146537767774,0.06369896702811143,190,69,4066,1.0,0.15,0.015,CRM,2022-08-24
0.4189189175036523,0.07805907170937261,210,86,3792,1.0,0.175,0.014,CRM,2022-05-31
0.32793522134439185,0.06284987275754457,164,83,3930,1.0,0.148,0.021,CRM,2022-03-01
0.5253164540338087,0.07532777113818169,241,75,4195,1.0,0.172,0.014,CRM,2021-11-30
0.5652173892564587,0.07280400947697072,216,60,3791,1.0,0.178,0.01,CRM,2021-08-25
0.39336492704566384,0.06399757353230283,147,64,3297,1.0,0.158,0.017,CRM,2021-02-25
0.6742934042068729,0.09104276435595604,622,121,8161,1.0,0.193,0.009,ADBE,2021-12-16
0.47741935329864726,0.07202602228809804,229,81,4304,1.0,0.162,0.013,ADBE,2021-09-21
0.18918918833698564,0.07029765672251499,132,90,3158,1.0,0.128,0.023,QCOM,2023-02-02
-0.02304147454819597,0.06536144576344535,106,111,3320,1.0,0.126,0.023,QCOM,2022-11-02
0.11764705824682815,0.062062671109807524,114,90,3287,1.0,0.167,0.02,QCOM,2022-07-27
0.2542372870583166,0.07331469398157357,148,88,3219,1.0,0.159,0.018,QCOM,2022-04-27
0.3599999984,0.06781193488010491,153,72,3318,1.0,0.149,0.01,QCOM,2022-02-02
0.24545454433884298,0.07573149739217505,137,83,2905,1.0,0.15,0.016,QCOM,2021-11-03
0.4198473266418041,0.07334826425718134,186,76,3572,1.0,0.153,0.016,QCOM,2021-07-28
0.43790849530095266,0.07810107195556379,220,86,3918,1.0,0.175,0.01,QCOM,2021-04-28
0.2857142847424684,0.07501913751594307,189,105,3919,1.0,0.146,0.012,QCOM,2021-02-03
0.3384030405383915,0.0714868170504249,176,87,3679,1.0,0.133,0.009,QCOM,2020-11-04
0.2198581544690911,0.052513966460888656,86,55,2685,1.0,0.136,0.016,TXN,2021-10-26
0.22137404411164852,0.057938965034082725,80,51,2261,1.0,0.127,0.025,TXN,2021-07-21
0.31249999755859376,0.06009389668540193,84,44,2130,1.0,0.132,0.015,TXN,2021-04-27
0.40495867433918453,0.060109289587625785,85,36,2013,1.0,0.163,0.018,TXN,2021-01-26
